ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_0804;T1;0804;CASTRO MARIM;2080924,27;1998760,68;628319,26;1059669,24;4779,43;305992,75;21946,33;11313,39;0;3226,29;3783,07;3623,58;60217,26
T1_0206;T1;0206;CASTRO VERDE;2043830,41;1722066,15;870350,86;569729,75;15047,75;266937,79;109097,04;4394,22;2089,61;9615,69;26199,76;66797,76;212667,22
T1_0903;T1;0903;CELORICO DA BEIRA;1563864,5;1351200,37;776648,32;388712,78;33574,59;152264,68;94860,77;16000;41385,31;0;10077,84;27397,62;117803,36
T1_0305;T1;0305;CELORICO DE BASTO;3545647,21;2292284,92;1103929,56;939735,41;18060,41;230559,54;836046,52;18603,42;2507,76;973,22;628414,07;185548,05;417315,77
T1_1407;T1;1407;CHAMUSCA;5235464,46;1745750,43;817923,67;679371,92;53525,71;194929,13;2621566,86;44237,74;241036,66;959376,15;976968,51;399947,8;868147,17
T1_1703;T1;1703;CHAVES;11994357,31;8080781,76;2357641,73;5019706,18;330315,15;373118,7;3015610,79;0;465646,43;456283,48;1102940,85;990740,03;897964,76
T1_1804;T1;1804;CINFÃES;2773381,69;2084575,95;978838,4;757865,98;449,93;347421,64;598609,43;24673,28;225283,37;119808,82;67836,78;161007,18;90196,31
T1_0603;T1;0603;COIMBRA;17013055,36;12478713,97;6084395,91;3383164,74;192149,5;2819003,82;2086089,07;657989,36;198428,04;0;284535,55;945136,12;2448252,32
T1_0604;T1;0604;CONDEIXA-A-NOVA;2409096,87;1827654,43;768372,41;969270,64;10526,03;79485,35;408519,81;0;109749,58;32999,48;13662,54;252108,21;172922,63
T1_1408;T1;1408;CONSTÂNCIA;1425434,56;876838,29;484321,84;307068,77;27527,05;57920,63;280366,39;11673,08;182115,27;5179,79;3955,58;77442,67;268229,88
T1_1409;T1;1409;CORUCHE;2678097,62;2339579,96;1379865,97;713625,81;7485,11;238603,07;253141,51;5035;42541,16;6350,02;58179,97;141035,36;85376,15
T1_4901;T1;4901;CORVO;554277,55;179348,14;117029,15;51818,04;1880,45;8620,5;326418,65;0;0;204589,62;64352,3;57476,73;48510,76
T1_0503;T1;0503;COVILHÃ;8345169,06;3876533,29;1287292,13;1798138,96;155212,45;635889,75;2700887,99;157692,19;736178,1;12208,26;1084071,12;710738,32;1767747,78
T1_1206;T1;1206;CRATO;1833510,49;1043741,14;468151,61;442324,88;19216,1;114048,55;661754,55;0;16160,88;28778,21;32474,87;584340,59;128014,8
T1_0207;T1;0207;CUBA;968940,77;843033,62;474811,6;251807,86;5137,34;111276,82;71280,64;0;0;25674,74;628,34;44977,56;54626,51
T1_1207;T1;1207;ELVAS;4998167,69;3304675,99;1302162;1376936,22;5805,55;619772,22;1630008,65;290757,42;257937,89;2344,29;832355,89;246613,16;63483,05
T1_1410;T1;1410;ENTRONCAMENTO;4352207,05;2928987,9;1182703,56;1377602,66;66805,88;301875,8;1220470,33;0;81351,61;706342,18;114831,07;317945,47;202748,82
T1_0107;T1;0107;ESPINHO;6480035,46;3640055,05;2132268,5;1156370,78;22151,18;329264,59;2601622,76;269280;770188,95;5015,22;364560,29;1192578,3;238357,65
T1_0306;T1;0306;ESPOSENDE;3735909,14;2227412,95;901081,33;816862,14;10086,41;499383,07;1192391,24;75000;271622,24;0;507416,1;338352,9;316104,95
T1_0108;T1;0108;ESTARREJA;3621250,46;2186599,11;1091378,61;761935,26;20812,17;312473,07;1091716,25;58143,3;394362,92;64821,4;266500,57;307888,06;342935,1
T1_0704;T1;0704;ESTREMOZ;4726709,82;2778550,55;999632,24;1353754,12;82695,13;342469,06;1763418,04;0;718658,78;15556,01;74437,54;954765,71;184741,23
T1_0705;T1;0705;ÉVORA;7713511,4;5492184,96;4011333,11;1047309,13;254046,49;179496,23;136510,05;7749;20691,18;0;0;108069,87;2084816,39
T1_0307;T1;0307;FAFE;4963984,24;3504766,61;1803357,11;765541,84;28191,08;907676,58;205748,87;0;67488,81;35436,8;73472,73;29350,53;1253468,76
T1_0805;T1;0805;FARO;4659731,2;3571505,91;3054378,81;330079,49;43782,75;143264,86;222707,85;2715;89676,72;0;42438,76;87877,37;865517,44
T1_1303;T1;1303;FELGUEIRAS;7019554,68;4905250,77;2468108,97;1590205,28;10026,53;836909,99;1760130,57;347550;602459,9;244464,92;158398,93;407256,82;354173,34
T1_0208;T1;0208;FERREIRA DO ALENTEJO;2536664,2;1883672,91;1002718,96;648154,73;23055,17;209744,05;363147,34;10462,5;129718,69;37224,44;5523,18;180218,53;289843,95
