ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T4_0603;T4;0603;COIMBRA;78971386.58;16080456;1728775.4;45617809.47;29303162.84;7186105.02;3568090.98;1736080.2;3824370.43;7536588.44;8007757.27
T4_0604;T4;0604;CONDEIXA-A-NOVA;10627843.67;3936426;351159.44;2086846.76;1454321.59;54962.84;353009.79;0;224552.54;3172510.49;1080900.98
T4_1408;T4;1408;CONSTÂNCIA;5091034.45;3045811;105288.5;611200.58;272622.84;37551.95;85206.78;186533.91;29285.1;906245.45;422488.92
T4_1409;T4;1409;CORUCHE;17373728.14;9537865;1553347.16;2841314.57;1782707.87;409216.85;344204.59;104506.74;200678.52;2012320.64;1428880.77
T4_4901;T4;4901;CORVO;1996330.11;1408890;91364.3;25724.2;16311.2;529.85;8107.87;0;775.28;15067.88;455283.73
T4_0503;T4;0503;COVILHÃ;24107730.93;11713939;357164.39;7952483.19;5179208.98;815796.06;954332;388152.42;614993.73;3090889.31;993255.04
T4_1206;T4;1206;CRATO;6844829.77;4504191;171923.98;412445.43;290099.78;41482.73;56628.66;0;24234.26;1028267.45;728001.91
T4_0207;T4;0207;CUBA;4904064.28;2966406;363809.34;510661.28;255356.6;33381.42;73160.68;3843.14;144919.44;696615.26;366572.4
T4_1207;T4;1207;ELVAS;19274311.03;7590591;2094272.14;3595666.99;2352278.58;551976.52;449869.03;121036.52;120506.34;2214877.64;3778903.26
T4_1410;T4;1410;ENTRONCAMENTO;15297224.5;3095612;3333163.63;3701460.44;2628546.04;144326.87;433547.02;122582.7;372457.81;2959914.19;2207074.24
T4_0107;T4;0107;ESPINHO;30883754.95;5315739;3988937.5;9454604.53;4556667.97;879552.41;654335.88;285541.02;3078507.25;4900437.2;7224036.72
T4_0306;T4;0306;ESPOSENDE;17776438.67;6035144;1466527.29;7144268.82;4639367.84;1042690.66;818374.03;0;643836.29;2049043.84;1081454.72
T4_0108;T4;0108;ESTARREJA;13995539.59;6528185.54;352378.74;4735121.6;2772476.59;268504.98;559782.27;454930.61;679427.15;1767937.5;611916.21
T4_0704;T4;0704;ESTREMOZ;11688649.62;6583197;352469.01;1986660.37;1092885.05;188257.89;264486.87;132415.64;308614.92;2074860.29;691462.95
