ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_4802;T1;4802;SANTA CRUZ DAS FLORES;499555.66;354774.35;241192.3;101663.05;10177.41;1741.59;59337.63;0;0;1870.11;55839.64;1627.88;85443.68
T1_0109;T1;0109;SANTA MARIA DA FEIRA;11546361.8;8047528.99;2842189.74;3583385.1;179680.19;1442273.96;2638684.57;140886.12;1021983.98;398778.5;490001.41;587034.56;860148.24
T1_1711;T1;1711;SANTA MARTA DE PENAGUIÃO;1532259.32;969098.06;435101.84;409998.69;21197.58;102799.95;436540.49;219684.24;34918.25;19152.82;110548.99;52236.19;126620.77
T1_3109;T1;3109;SANTANA;1332383.12;768474.45;311517.72;223866.19;71582.06;161508.48;207616.59;0;0;21009.68;176166.91;10440;356292.08
T1_1416;T1;1416;SANTARÉM;8628827.39;5158285.26;3008458.28;1098757.21;321288.31;729781.46;162279.58;6545.07;25685.64;22670.62;64873.35;42504.9;3308262.55
T1_1509;T1;1509;SANTIAGO DO CACÉM;5623685.63;4482985.39;2524288.91;1559276.11;48673.3;350747.07;706381.06;5580;63736;148356.21;278379.99;210328.86;434319.18
T1_1314;T1;1314;SANTO TIRSO;9413798.34;6127709.2;2415212.56;2067970.9;61324.8;1583200.94;2483247.7;58199.49;288785.26;1135500.88;699737.01;301025.06;802841.44
T1_0812;T1;0812;SÃO BRÁS DE ALPORTEL;1785945.54;1609501.91;897924.29;564957;19082.29;127538.33;58683.7;0;11350.08;5055.43;1750.49;40527.7;117759.93
T1_0116;T1;0116;SÃO JOÃO DA MADEIRA;4554478.76;2474403.43;999980.13;1157888.72;60702.24;255832.34;1612306.38;39389.13;480276.11;12841.48;156176.34;923623.32;467768.95
T1_1815;T1;1815;SÃO JOÃO DA PESQUEIRA;2270288.05;1203197.33;392932.39;674446.24;21670.02;114148.68;568829.41;50000;1843.52;0;242662.52;274323.37;498261.31
T1_1816;T1;1816;SÃO PEDRO DO SUL;3920002.98;2562080.66;1394489.9;998387.74;63177.65;106025.37;383755.37;25939.77;44961.29;51096.16;128103.16;133654.99;974166.95
T1_4603;T1;4603;SÃO ROQUE DO PICO;1143983.58;745521.02;205121.11;146240.34;8681.03;385478.54;61826.63;7060.72;0;19173.64;16458.32;19133.95;336635.93
T1_3110;T1;3110;SÃO VICENTE;1147245.85;709740.61;271960.75;273835.21;27518.58;136426.07;224633.42;9800;32.7;38187.74;100826.19;75786.79;212871.82
T1_1417;T1;1417;SARDOAL;1332752.62;1020564.36;716214.06;255545.48;29635.72;19169.1;160641.72;2456.64;3131.23;21106.33;3984.32;129963.2;151546.54
T1_1817;T1;1817;SÁTÃO;2216951.8;1107683.63;655643.48;364362.93;10722.15;76955.07;901541.06;23975.26;6169.1;143618.58;370554.17;357223.95;207727.11
T1_0912;T1;0912;SEIA;3796170.04;3314228.06;1144489.07;1063130.13;572940.44;533668.42;198479.12;0;3541.15;7374.32;45650.47;141913.18;283462.86
T1_1510;T1;1510;SEIXAL;11770863.52;8329180.93;7378428.18;495066.46;322474.63;133211.66;828942.31;0;151714.86;0;78826.94;598400.51;2612740.28
